num_arms,min_gap,num_threads,epsilon,delta,elapsed,pulls,solved
100,0.4,1,0.2,0.1,2,33168,1
100,0.4,8,0.2,0.1,13,32000,1
100,0.4,16,0.2,0.1,13,27712,1
100,0.4,32,0.2,0.1,15,35200,1
100,0.4,64,0.2,0.1,85,37888,1
100,0.4,128,0.2,0.1,26,36352,1
100,0.4,1,0.2,0.05,0,28863,1
100,0.4,8,0.2,0.05,9,32544,1
100,0.4,16,0.2,0.05,10,35200,1
100,0.4,32,0.2,0.05,12,38400,1
100,0.4,64,0.2,0.05,87,44480,1
100,0.4,128,0.2,0.05,35,51200,1
100,0.4,1,0.2,0.01,1,36905,1
100,0.4,8,0.2,0.01,8,27344,1
100,0.4,16,0.2,0.01,12,39696,1
100,0.4,32,0.2,0.01,15,41600,1
100,0.4,64,0.2,0.01,78,42880,1
100,0.4,128,0.2,0.01,32,50048,1
100,0.4,1,0.1,0.1,0,27440,1
100,0.4,8,0.1,0.1,9,32000,1
100,0.4,16,0.1,0.1,9,32320,1
100,0.4,32,0.1,0.1,13,34944,1
100,0.4,64,0.1,0.1,101,38400,1
100,0.4,128,0.1,0.1,39,38400,1
100,0.4,1,0.1,0.05,0,25992,1
100,0.4,8,0.1,0.05,8,29112,1
100,0.4,16,0.1,0.05,10,34928,1
100,0.4,32,0.1,0.05,12,38400,1
100,0.4,64,0.1,0.05,91,44800,1
100,0.4,128,0.1,0.05,38,46976,1
100,0.4,1,0.1,0.01,0,24048,1
100,0.4,8,0.1,0.01,8,36768,1
100,0.4,16,0.1,0.01,8,36352,1
100,0.4,32,0.1,0.01,12,41600,1
100,0.4,64,0.1,0.01,82,44160,1
100,0.4,128,0.1,0.01,33,51200,1
100,0.4,1,0.01,0.1,0,29148,1
100,0.4,8,0.01,0.1,7,25552,1
100,0.4,16,0.01,0.1,9,30528,1
100,0.4,32,0.01,0.1,11,34688,1
100,0.4,64,0.01,0.1,72,35840,1
100,0.4,128,0.01,0.1,35,38400,1
100,0.4,1,0.01,0.05,0,32517,1
100,0.4,8,0.01,0.05,9,32280,1
100,0.4,16,0.01,0.05,6,19696,1
100,0.4,32,0.01,0.05,12,36960,1
100,0.4,64,0.01,0.05,98,43840,1
100,0.4,128,0.01,0.05,26,51200,1
100,0.4,1,0.01,0.01,0,22553,1
100,0.4,8,0.01,0.01,10,39200,1
100,0.4,16,0.01,0.01,11,40000,1
100,0.4,32,0.01,0.01,13,41600,1
100,0.4,64,0.01,0.01,72,44480,1
100,0.4,128,0.01,0.01,39,50048,1
100,0.4,1,0.001,0.1,0,30856,1
100,0.4,8,0.001,0.1,8,27784,1
100,0.4,16,0.001,0.1,9,33600,1
100,0.4,32,0.001,0.1,12,34944,1
100,0.4,64,0.001,0.1,79,38400,1
100,0.4,128,0.001,0.1,21,33024,1
100,0.4,1,0.001,0.05,0,29907,1
100,0.4,8,0.001,0.05,8,33600,1
100,0.4,16,0.001,0.05,11,34656,1
100,0.4,32,0.001,0.05,15,36672,1
100,0.4,64,0.001,0.05,76,44480,1
100,0.4,128,0.001,0.05,39,49664,1
